d,N,epsilon,lambda
1,25,0.2,0.1
1,50,0.2,0.1
1,75,0.2,0.01
1,100,0.2,0.01
1,150,0.2,0.01
1,200,0.2,0.01
1,350,0.1,0.01
1,500,0.2,0.01
1,750,0.1,0.01
1,1000,0.1,0.01
2,25,0.5,0.1
2,50,0.5,0.1
2,75,0.5,0.01
2,100,0.5,0.01
2,150,0.2,0.01
2,200,0.2,0.01
2,350,0.2,0.01
2,500,0.2,0.01
2,750,0.2,0.01
2,1000,0.2,0.001
3,25,0.5,0.1
3,50,1,0.01
3,75,0.75,0.01
3,100,0.5,0.01
3,150,0.5,0.01
3,200,0.5,0.01
3,350,0.2,0.01
3,500,0.5,0.001
3,750,0.5,0.001
3,1000,0.5,0.001
4,25,0.5,0.1
4,50,0.5,0.1
4,75,1,0.01
4,100,0.75,0.01
4,150,0.75,0.01
4,200,0.5,0.01
4,350,0.5,0.01
4,500,0.5,0.01
4,750,0.5,0.001
4,1000,0.5,0.001
5,25,0.5,0.1
5,50,0.5,0.1
5,75,0.5,0.1
5,100,3.5,0.001
5,150,1,0.01
5,200,0.75,0.01
5,350,0.75,0.01
5,500,1,0.001
5,750,0.75,0.001
5,1000,0.75,0.001
6,25,0.5,0.1
6,50,0.5,0.1
6,75,0.5,0.1
6,100,0.5,0.1
6,150,3.5,0.001
6,200,3,0.001
6,350,2.5,0.001
6,500,2,0.001
6,750,1,0.001
6,1000,1,0.001
7,25,0.5,0.1
7,50,0.5,0.1
7,75,0.5,0.1
7,100,0.5,0.1
7,150,0.5,0.1
7,200,4,0.001
7,350,3,0.001
7,500,2.5,0.001
7,750,2,0.001
7,1000,1.5,0.001
8,25,0.5,0.1
8,50,0.5,0.1
8,75,0.5,0.1
8,100,0.5,0.1
8,150,0.5,0.1
8,200,0.5,0.01
8,350,5,0.0001
8,500,5,0.0001
8,750,2,0.001
8,1000,2,0.001
9,25,0.5,0.1
9,50,0.5,0.1
9,75,0.75,0.1
9,100,0.75,0.1
9,150,0.5,0.01
9,200,0.5,0.01
9,350,5,0.0001
9,500,5,0.0001
9,750,5,0.0001
9,1000,5,0.0001
10,25,0.75,0.1
10,50,0.5,0.1
10,75,0.2,0.01
10,100,0.5,0.1
10,150,0.5,0.01
10,200,0.5,0.01
10,350,0.5,0.01
10,500,5,0.0001
10,750,5,0.0001
10,1000,5,0.0001
1,5000,0.1,0.001
2,5000,0.1,0.001
3,5000,0.2,0.001
4,5000,0.2,0.001
5,5000,0.5,0.001
6,5000,0.5,0.0001
7,5000,0.75,0.0001
8,5000,0.75,0.001
9,5000,0.75,0.001
10,5000,0.75,0.001
